strategy,alt_fraction,band,pre_tax_cagr,after_tax_pre_liq_cagr,after_tax_after_liq_cagr,max_drawdown_after_tax,rebalances,true_turnover,tax_paid,liquidation_tax,end_pre_tax,end_after_tax_pre_liq,end_after_tax_after_liq
ALT weekly full rebalance,1.0,full,0.6025484198391504,0.3684499169356501,0.3445725309888148,-0.3930670146668812,523,11.002720347559146,3447749.4856627444,1024446.9331287849,30732658.880846374,6363303.987600618,5338857.054471834
ALT weekly L1>10%,1.0,0.1,0.6037332771653541,0.37678156057649037,0.34973394003283986,-0.3845551788281837,268,10.084276479563625,3395349.2546121874,1213588.8110289713,30960005.190352645,6760374.847640802,5546786.036611831
ALT weekly L1>15%,1.0,0.15,0.5953890125551717,0.37579761727508654,0.34861728325496344,-0.38798779593535293,189,9.354170049556199,3322052.8295440245,1211155.4008637872,29390604.302551497,6712348.917440175,5501193.516576388
ALT weekly L1>20%,1.0,0.2,0.6016738044276218,0.3847156230977222,0.35458658520457487,-0.3884663486509531,147,8.865879064485126,3326789.4848750364,1410184.1394976028,30565805.512483507,7159075.955866891,5748891.816369288
ALT weekly L1>25%,1.0,0.25,0.6135490084933466,0.393882103182037,0.3632238286463616,-0.39139983051399385,126,8.526138539287848,3506728.93257917,1520881.9254084239,32902402.66369479,7645957.372832757,6125075.447424334
ALT weekly L1>30%,1.0,0.3,0.6061031035746944,0.39362938907130673,0.3580415961608334,-0.3776870702155555,106,8.033214543120527,3149896.3950609583,1735344.4444409446,31419264.645669572,7632144.816354248,5896800.371913303
ALT monthly full rebalance,1.0,full,0.5648302104270819,0.36735172904589075,0.33553893192033324,-0.41254890925471466,121,5.570808483673341,2745901.2074208725,1320813.2856743862,24235282.358147323,6312562.947328893,4991749.661654506
"70% ALT / 30% extra QQQ, L1>10%",0.7,0.1,0.4810384638074052,0.317591026437438,0.2914786163542278,-0.3730124729898444,205,6.743098508587267,2012479.9826165254,789276.224596703,13999197.94339247,4361709.886175354,3572433.661578651
"50% ALT / 50% extra QQQ, L1>10%",0.5,0.1,0.40144534781348007,0.2850031104962194,0.25463689193711425,-0.3722877688970103,160,4.645930890391897,1268898.7469450315,720938.0176627225,8069894.066617565,3397773.3428370953,2676835.3251743726
QQQ buy-and-hold,0.0,full,0.21874705456574284,0.21874705456574284,0.17843510313090216,-0.35118722271351754,0,0.0,0.0,571110.4205353955,2004135.2854845782,2004135.2854845782,1433024.8649491826
