strategy,cagr,sharpe,max_drawdown,worst_12m,turnover,current_cash_weight,current_gld_weight,current_equity_weight
no_cash_reserve_GLD,0.6261304660652469,1.7654404346628305,-0.2970138182907919,-0.2539842035860712,10.10846616233914,0.0,0.04745141602507944,0.9525485839749206
dip_cash_reserve_10_lookback_126_tranches_5_10_15,0.5705530085323112,1.779896887579269,-0.27877530183547883,-0.23098019965837302,11.205849760011736,0.03333333333333334,0.04745141602507944,0.9192152506415874
dip_cash_reserve_10_lookback_63_tranches_5_10_15,0.5687443470102593,1.7791821847877982,-0.2787753018354787,-0.23010330888269181,11.266953233173334,0.03333333333333334,0.04745141602507944,0.9192152506415874
dip_cash_reserve_10_lookback_126_tranches_7p5_15_22p5,0.5662755743491166,1.7850915668995078,-0.2737395908889355,-0.22495842308883418,10.826900679787284,0.06666666666666668,0.04745141602507944,0.8858819173082539
dip_cash_reserve_10_lookback_63_tranches_7p5_15_22p5,0.5642578617942116,1.782623173188155,-0.27373959088893574,-0.22614696845350624,10.500815054081967,0.06666666666666668,0.04745141602507944,0.8858819173082539
dip_cash_reserve_10_lookback_21_tranches_5_10_15,0.563800879340884,1.7747061618062412,-0.2745961627551715,-0.2316623437841936,11.121715194444139,0.03333333333333334,0.04745141602507944,0.9192152506415874
dip_cash_reserve_10_lookback_126_tranches_10_20_30,0.5602064060721081,1.7763219831274957,-0.271789144522943,-0.23139218683437568,10.195985571771278,0.06666666666666668,0.04745141602507944,0.8858819173082539
dip_cash_reserve_10_lookback_21_tranches_7p5_15_22p5,0.5597696063429283,1.7758982211968337,-0.26847668836242256,-0.22777240905213214,10.300930233527875,0.06666666666666668,0.04745141602507944,0.8858819173082539
dip_cash_reserve_10_lookback_63_tranches_10_20_30,0.5596470541559417,1.7762099872671007,-0.27178914452294267,-0.23215567530855685,10.247873580388033,0.06666666666666668,0.04745141602507944,0.8858819173082539
dip_cash_reserve_10_lookback_21_tranches_10_20_30,0.5578962884790213,1.7763815083912935,-0.2667833004032927,-0.2289089522104012,10.140342386099354,0.06666666666666668,0.04745141602507944,0.8858819173082539
static_cash_reserve_10_pro_rata,0.5553301248139644,1.765440434662831,-0.270313023436057,-0.22965733921229214,9.097619546105227,0.1,0.0427062744225715,0.8572937255774286
static_cash_reserve_10,0.5533952184992759,1.7717379155990023,-0.26145960533854884,-0.23244368231678114,9.556732970506808,0.1,0.04745141602507944,0.8525485839749207
dip_cash_reserve_15_lookback_126_tranches_5_10_15,0.543007609600235,1.7871313671204512,-0.26956830924989006,-0.21933753291879599,11.76025338805666,0.05,0.04745141602507944,0.9025485839749208
dip_cash_reserve_15_lookback_63_tranches_5_10_15,0.5403257894345608,1.7860627238930196,-0.2695683092498897,-0.21811777620033157,11.851643581842845,0.05,0.04745141602507944,0.9025485839749208
dip_cash_reserve_15_lookback_126_tranches_7p5_15_22p5,0.5366338144377463,1.7956859360246522,-0.2619184388856042,-0.21029541475729485,11.192246362151897,0.1,0.04745141602507944,0.8525485839749207
dip_cash_reserve_15_lookback_63_tranches_7p5_15_22p5,0.5336571662916909,1.791788159532075,-0.2619184388856042,-0.21207537710385238,10.698455290392298,0.1,0.04745141602507944,0.8525485839749207
dip_cash_reserve_15_lookback_21_tranches_5_10_15,0.5329991261291209,1.7787920232226357,-0.2632158295106899,-0.22051750597252784,11.6319292623113,0.05,0.04745141602507944,0.9025485839749208
dip_cash_reserve_15_lookback_126_tranches_10_20_30,0.5276810152969127,1.7817756489944936,-0.25895343764174494,-0.22007377223339708,10.240564689247629,0.1,0.04745141602507944,0.8525485839749207
dip_cash_reserve_15_lookback_21_tranches_7p5_15_22p5,0.5270209650485556,1.7808258496758744,-0.25551274146108294,-0.21463689167137223,10.397616456783485,0.1,0.04745141602507944,0.8525485839749207
dip_cash_reserve_15_lookback_63_tranches_10_20_30,0.5268482087228781,1.7815302314748065,-0.2589534376417453,-0.221280742162564,10.318093258791134,0.1,0.04745141602507944,0.8525485839749207
dip_cash_reserve_15_lookback_21_tranches_10_20_30,0.5242350657484485,1.7815133966601147,-0.2548702236631364,-0.21641348894957813,10.156342279696874,0.1,0.04745141602507944,0.8525485839749207
static_cash_reserve_15_pro_rata,0.5205750141075405,1.7654404346628312,-0.2567175414768156,-0.21737981700664133,8.59219623798827,0.15,0.040333703621317524,0.8096662963786826
static_cash_reserve_15,0.5175760095359734,1.7737839048949187,-0.2467670741970407,-0.22180921225626915,9.280866374590639,0.15,0.04745141602507944,0.8025485839749207
dip_cash_reserve_20_lookback_126_tranches_5_10_15,0.5156412867614593,1.7942200318809565,-0.26030277121785794,-0.20765338756680973,12.315219203746633,0.06666666666666668,0.04745141602507944,0.8858819173082538
dip_cash_reserve_20_lookback_63_tranches_5_10_15,0.5121072857193554,1.792800028714637,-0.2603027712178585,-0.20605891063008153,12.436813899523008,0.06666666666666668,0.04745141602507944,0.8858819173082538
dip_cash_reserve_20_lookback_126_tranches_7p5_15_22p5,0.5072000860938062,1.8067623561023909,-0.24997376368381785,-0.19549645169715812,11.558991566592997,0.13333333333333336,0.04745141602507944,0.8192152506415872
dip_cash_reserve_20_lookback_63_tranches_7p5_15_22p5,0.5032949985249957,1.8012642582958365,-0.24997376368381785,-0.19790672587172997,10.896380419022329,0.13333333333333336,0.04745141602507944,0.8192152506415872
dip_cash_reserve_20_lookback_21_tranches_5_10_15,0.502455932416495,1.7822273888203182,-0.25318646207772166,-0.20939038313880554,12.14233423929554,0.06666666666666668,0.04745141602507944,0.8858819173082538
dip_cash_reserve_20_lookback_126_tranches_10_20_30,0.4954609726039425,1.7870693011302312,-0.24596769867710955,-0.20874471292593,10.285185003136984,0.13333333333333336,0.04745141602507944,0.8192152506415872
dip_cash_reserve_20_lookback_21_tranches_7p5_15_22p5,0.49457442266337037,1.7852789620423266,-0.24369859426878648,-0.20149050892709086,10.4945875723588,0.13333333333333336,0.04745141602507944,0.8192152506415872
dip_cash_reserve_20_lookback_63_tranches_10_20_30,0.4943590171964687,1.7866099388153083,-0.2459676986771091,-0.21043939553876356,10.38831305550068,0.13333333333333336,0.04745141602507944,0.8192152506415872
dip_cash_reserve_20_lookback_21_tranches_10_20_30,0.4908933688711441,1.7861079595388922,-0.24283696236982844,-0.20395689230506653,10.172342291600833,0.13333333333333336,0.04745141602507944,0.8192152506415872
static_cash_reserve_20_pro_rata,0.48625803409005486,1.765440434662831,-0.2429577868188708,-0.2050297161443012,8.086772929871312,0.2,0.03796113282006355,0.7620388671799366
static_cash_reserve_20,0.48213938424833014,1.7745705563356948,-0.23187484867029606,-0.21127594768408053,9.004999778674472,0.2,0.04745141602507944,0.7525485839749206
