strategy,threshold,cadence,pre_tax_cagr,after_liq_cagr,max_drawdown_pre_tax,worst_12m_pre_tax,after_tax_curve_max_drawdown,trades,round_trips,st_realized,lt_realized,tax_paid,liquidation_tax,end_pre_tax,end_after_tax_pre_liq,end_after_tax_after_liq
Buy-hold EW-9,,none,0.5081674186421541,0.4497731506594076,-0.5477390334877954,-0.47622758148947564,-0.5477390334877954,0,0.0,0.0,0.0,0.0,5460954.709054901,16777078.755332027,16777078.755332027,11316124.046277128
weekly_gate_10pct,0.1,weekly,0.3881134109982465,0.22596928268787408,-0.36182224389311834,-0.2484959690541526,-0.5142042113038783,58,29.0,3077695.278677008,507773.4866209438,1706920.6634100364,463.3260044530034,7336196.981737855,2126231.269483352,2125767.943478899
weekly_gate_15pct,0.15,weekly,0.483303137539975,0.32261973466975413,-0.3052638794458258,-0.23339088313155998,-0.3878432118840781,34,17.0,1823829.4681813645,3380617.955337795,2030899.2773074922,1057080.2289767026,14214137.055033058,5587667.724146972,4530587.49517027
weekly_gate_20pct,0.2,weekly,0.4009453881843743,0.28629493431501984,-0.47124841601241285,-0.4207257171528729,-0.5150402042193017,24,12.0,-543461.5533994016,2789678.8999158153,761158.1642562554,817501.7878308033,8041230.936838045,4249492.365545984,3431990.577715181
weekly_gate_25pct,0.25,weekly,0.43146144841615275,0.3109000468370411,-0.4669705632278677,-0.41603911161080565,-0.5273340923462495,16,8.0,-361079.161824269,2786840.302243436,879670.5571688468,1045657.7443874181,9968896.372423694,5191451.563718987,4145793.8193315687
monthly_gate_10pct,0.1,monthly,0.38829800629331057,0.2329920715454108,-0.3148656592068375,-0.2442740157520359,-0.4309477008616548,22,11.0,2291672.7129219333,860943.1194269503,1451142.046571969,230364.3316413496,7345931.572823449,2480734.1620400753,2250369.830398726
monthly_gate_15pct,0.15,monthly,0.5312754745230892,0.3786490209114357,-0.28889347491805084,-0.20737944405889042,-0.36680983139651324,12,6.0,904303.6548188295,3870313.609389646,1733225.6321173876,1671816.4011052316,19524082.26722608,8524192.388815954,6852375.987710723
monthly_gate_20pct,0.2,monthly,0.4576007557448849,0.33856821911519774,-0.4470338662274699,-0.3941974449246267,-0.5229315578922114,6,3.0,238166.7839123516,2972473.660848342,1102972.173696977,1245697.0396228656,11940377.664041672,6351511.575615543,5105814.535992677
monthly_gate_25pct,0.25,monthly,0.45895543506308667,0.34133221436952144,-0.44703386622746966,-0.39419744492462694,-0.5227071508828784,6,3.0,126192.43884892832,3137216.226404545,1101514.7903643686,1271586.7746610993,12051504.601871442,6483517.148844444,5211930.374183345
