ticker,market_cap,earnings_quarterly_growth,revenue_growth,profit_margins,return_on_equity,forward_eps,trailing_eps
NVDA,4785584996352,2.106,0.852,0.62966,1.14288,12.76443,6.52
AMD,881959239680,0.951,0.378,0.13374,0.08063,13.17704,3.02
AVGO,1757164732416,0.875,0.479,0.38848,0.37280998,19.39578,6.01
INTC,638402494464,,0.072,-0.05904,-0.02911,1.55496,-0.6
MU,1165850050560,13.983,3.457,0.55906,0.66638,149.63844,44.21
SNDK,300950978560,,2.51,0.34185,0.39297,185.7538,29.33
MRVL,238194229248,-0.806,0.276,0.28986,0.16028,6.17792,2.92
STX,205212139520,1.2,0.441,0.21599,17.8797,27.26073,10.52
ANET,209802805248,0.257,0.351,0.38317,0.31520998,4.45434,2.9
VST,51642867712,,0.434,0.11525,0.42898,10.80686,5.98
CEG,84454629376,12.475,0.638,0.12693,0.16104999,13.58303,11.5
GEV,304822517760,17.681,0.163,0.23809999,0.75708,24.54325,34.19
VRT,119619166208,1.371,0.301,0.14372,0.45097,8.85088,3.98
NBIS,58188386304,,6.839,0.93086,0.14136,0.36122,2.6
SMCI,17886038016,3.444,1.227,0.03701,0.17877,3.17161,1.9
